"keyword","search_intent","recommended_page","current_page","new_page_needed","priority","keyword_cluster","funnel_stage","pakistan_search_volume","evidence"
"cleaning products Pakistan","Transactional","/shop/cleaning-products","/shop/cleaning-products","No; improve existing","P1","Cleaning Products","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"spray mop Pakistan","Transactional","/shop/cleaning-products","/shop/cleaning-products","No; improve existing","P1","Cleaning Products","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"household cleaning tools","Transactional","/shop/cleaning-products","/shop/cleaning-products","No; improve existing","P1","Cleaning Products","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"mini mop","Transactional","/shop/cleaning-products","/shop/cleaning-products","No; improve existing","P1","Cleaning Products","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"home essentials Pakistan","Transactional","/shop/home-essentials","/shop/home-essentials","No; improve existing","P1","Home Essentials","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"household products Pakistan","Transactional","/shop/home-essentials","/shop/home-essentials","No; improve existing","P1","Home Essentials","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"home gadgets Pakistan","Transactional","/shop/home-essentials","/shop/home-essentials","No; improve existing","P1","Home Essentials","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"useful home products","Transactional","/shop/home-essentials","/shop/home-essentials","No; improve existing","P1","Home Essentials","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"home decor accessories Pakistan","Transactional","/shop/home-lifestyle","/shop/home-lifestyle","No; improve existing","P1","Home & Lifestyle","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"wall stickers Pakistan","Transactional","/shop/home-lifestyle","/shop/home-lifestyle","No; improve existing","P1","Home & Lifestyle","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"night light Pakistan","Transactional","/shop/home-lifestyle","/shop/home-lifestyle","No; improve existing","P1","Home & Lifestyle","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"massage tools Pakistan","Transactional","/shop/wellness","/shop/wellness","No; improve existing","P1","Wellness","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan massage search: Galaxiee, Daraz"
"massage gun price in Pakistan","Transactional","/shop/wellness","/shop/wellness","No; improve existing","P1","Wellness","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan massage search: Galaxiee, Daraz"
"foot roller massager","Transactional","/shop/wellness","/shop/wellness","No; improve existing","P1","Wellness","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan massage search: Galaxiee, Daraz"
"home organizers Pakistan","Transactional","/shop/organizers","/shop/organizers","No; improve existing","P1","Organizers","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"travel organizer Pakistan","Transactional","/shop/organizers","/shop/organizers","No; improve existing","P1","Organizers","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"storage accessories Pakistan","Transactional","/shop/organizers","/shop/organizers","No; improve existing","P1","Organizers","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"tumbler Pakistan","Transactional","/shop/drinkware","/shop/drinkware","No; improve existing","P1","Drinkware","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"40oz tumbler Pakistan","Transactional","/shop/drinkware","/shop/drinkware","No; improve existing","P1","Drinkware","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"insulated tumbler price","Transactional","/shop/drinkware","/shop/drinkware","No; improve existing","P1","Drinkware","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"desk accessories Pakistan","Transactional","/shop/office-accessories","/shop/office-accessories","No; improve existing","P1","Office Accessories","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"keyboard shortcut mat","Transactional","/shop/office-accessories","/shop/office-accessories","No; improve existing","P1","Office Accessories","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"desk mat 80 x 30cm","Transactional","/shop/office-accessories","/shop/office-accessories","No; improve existing","P1","Office Accessories","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"365nm money detector","Transactional","/product/pickora-1972612611","/product/pickora-1972612611","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"money detector pen","Transactional","/product/pickora-1963263814","/product/pickora-1963263814","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"portable fan Pakistan","Transactional","/product/pickora-1965017109","/product/pickora-1965017109","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"rechargeable hand fan","Transactional","/product/pickora-1966895078","/product/pickora-1966895078","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"massage gun Pakistan","Transactional","/product/pickora-1973702573","/product/pickora-1973702573","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"water pump Pakistan","Transactional","/product/pickora-1971400774","/product/pickora-1971400774","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"kitchen scale Pakistan","Transactional","/product/tos-8381141581985-digital-kitchen-weight-scale-machine","/product/tos-8381141581985-digital-kitchen-weight-scale-machine","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"mini food chopper Pakistan","Transactional","/product/tos-8381139779745-mini-food-chopper","/product/tos-8381139779745-mini-food-chopper","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"spray mop Pakistan","Transactional","/product/tos-8317065298081-water-spray-mop","/product/tos-8317065298081-water-spray-mop","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"hand blender Pakistan","Transactional","/product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set","/product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"detangling hair brush Pakistan","Transactional","/product/pickora-1970697444","/product/pickora-1970697444","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"40oz tumbler Pakistan","Transactional","/product/pickora-1971845697","/product/pickora-1971845697","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"masala grinder Pakistan","Transactional","/product/tos-8347140620449-electric-masala-grinder","/product/tos-8347140620449-electric-masala-grinder","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"foot roller massager","Transactional","/product/tos-8396207653025-foot-roller-massager","/product/tos-8396207653025-foot-roller-massager","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"eyebrow trimmer Pakistan","Transactional","/product/tos-8347529511073-new-2-in-1-flawless-eyebrow-trimmer","/product/tos-8347529511073-new-2-in-1-flawless-eyebrow-trimmer","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"lint remover Pakistan","Transactional","/product/tos-8347136393377-rechargeable-lint-remover","/product/tos-8347136393377-rechargeable-lint-remover","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"mosquito repellent light","Transactional","/product/tos-8391726760097-ultrasonic-mosquito-repellent-light","/product/tos-8391726760097-ultrasonic-mosquito-repellent-light","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"refrigerator lock Pakistan","Transactional","/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"travel organizer Pakistan","Transactional","/product/tos-8513553629345-3-layer-travel-organizer","/product/tos-8513553629345-3-layer-travel-organizer","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"mini mop Pakistan","Transactional","/product/tos-8381138927777-portable-handfree-mini-mop","/product/tos-8381138927777-portable-handfree-mini-mop","No","P1","Product","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Actual bundled product; exact query volume unverified"
"money detector price in Pakistan","Commercial","/blog/money-detector-price-pakistan","None","Yes, subject to overlap and evidence gate","P1","/shop/money-detectors","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"check Pakistani currency notes","Informational","/blog/check-currency-notes-uv","None","Yes, subject to overlap and evidence gate","P1","/shop/money-detectors","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"rechargeable hand fan Pakistan","Commercial","/blog/rechargeable-hand-fans-pakistan","None","Yes, subject to overlap and evidence gate","P1","/shop/portable-fans","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan fan search: Orderly, Daraz, Spector Gadgets"
"portable fan buying guide","Commercial","/blog/portable-fan-buying-guide","None","Yes, subject to overlap and evidence gate","P1","/shop/portable-fans","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan fan search: Orderly, Daraz, Spector Gadgets"
"massage gun price in Pakistan","Commercial","/blog/massage-gun-price-pakistan","None","Yes, subject to overlap and evidence gate","P1","/shop/wellness","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan massage search: Galaxiee, Daraz"
"massage gun attachments","Informational","/blog/massage-gun-attachments","None","Yes, subject to overlap and evidence gate","P1","/shop/wellness","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan massage search: Galaxiee, Daraz"
"automatic water pump Pakistan","Commercial","/blog/water-dispenser-pump-pakistan","None","Yes, subject to overlap and evidence gate","P1","/shop/home-essentials","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan water-pump search: Action.pk, ASH Homes"
"digital kitchen scale uses","Informational","/blog/digital-kitchen-scale-uses","None","Yes, subject to overlap and evidence gate","P1","/shop/kitchenware","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"mini food chopper Pakistan","Commercial","/blog/mini-chopper-vs-manual","None","Yes, subject to overlap and evidence gate","P1","/shop/kitchenware","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"spray mop vs spin mop","Commercial","/blog/spray-mop-vs-spin-mop","None","Yes, subject to overlap and evidence gate","P1","/shop/cleaning-products","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan cleaning search: Daraz spray mop; WeHome kitchen collection"
"kitchen gadgets under 1000 Pakistan","Commercial","/blog/kitchen-gadgets-under-1000","None","Yes, subject to overlap and evidence gate","P2","/shop/kitchenware","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"kitchen essentials Pakistan","Commercial","/blog/new-kitchen-tools-pakistan","None","Yes, subject to overlap and evidence gate","P2","/shop/kitchenware","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"clean digital kitchen scale","Informational","/blog/clean-kitchen-scale","None","Yes, subject to overlap and evidence gate","P2","/shop/kitchenware","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"masala grinder Pakistan","Commercial","/blog/masala-grinder-buying-guide","None","Yes, subject to overlap and evidence gate","P2","/shop/kitchenware","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"hand blender vs chopper","Commercial","/blog/hand-blender-vs-chopper","None","Yes, subject to overlap and evidence gate","P2","/shop/kitchenware","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"cleaning tools small home","Commercial","/blog/cleaning-tools-small-homes","None","Yes, subject to overlap and evidence gate","P2","/shop/cleaning-products","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"mop for tile marble","Informational","/blog/mop-for-tile-marble","None","Yes, subject to overlap and evidence gate","P2","/shop/cleaning-products","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan cleaning search: Daraz spray mop; WeHome kitchen collection"
"Eid cleaning checklist","Informational","/blog/eid-home-cleaning-checklist","None","Yes, subject to overlap and evidence gate","P2","/shop/cleaning-products","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"lint remover Pakistan","Commercial","/blog/lint-remover-guide","None","Yes, subject to overlap and evidence gate","P2","/shop/home-essentials","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"mosquito killer lamp Pakistan","Commercial","/blog/mosquito-killer-lamp-guide","None","Yes, subject to overlap and evidence gate","P2","/shop/home-lifestyle","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"summer essentials Pakistan","Commercial","/blog/summer-home-essentials","None","Yes, subject to overlap and evidence gate","P2","/shop/portable-fans","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"load shedding desk accessories","Commercial","/blog/load-shedding-desk-essentials","None","Yes, subject to overlap and evidence gate","P2","/shop/electronics-gadgets","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"rechargeable gadget charging guide","Informational","/blog/rechargeable-gadget-safety","None","Yes, subject to overlap and evidence gate","P2","/shop/electronics-gadgets","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"portable fan office travel","Commercial","/blog/portable-fan-use-cases","None","Yes, subject to overlap and evidence gate","P2","/shop/portable-fans","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan fan search: Orderly, Daraz, Spector Gadgets"
"365nm vs 395nm","Informational","/blog/uv-365-vs-395","None","Yes, subject to overlap and evidence gate","P1","/shop/money-detectors","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"cash handling tools Pakistan","Commercial","/blog/cash-handling-tools-small-shops","None","Yes, subject to overlap and evidence gate","P2","/shop/money-detectors","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"how to use money detector pen","Informational","/blog/use-money-detector-pen","None","Yes, subject to overlap and evidence gate","P2","/shop/money-detectors","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"home organizers Pakistan","Commercial","/blog/home-organizers-small-spaces","None","Yes, subject to overlap and evidence gate","P2","/shop/organizers","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"travel organizer packing checklist","Informational","/blog/travel-organizer-checklist","None","Yes, subject to overlap and evidence gate","P3","/shop/organizers","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"refrigerator safety lock installation","Informational","/blog/refrigerator-lock-installation","None","Yes, subject to overlap and evidence gate","P2","/shop/home-essentials","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"wall sticker installation","Informational","/blog/wall-sticker-installation","None","Yes, subject to overlap and evidence gate","P3","/shop/home-lifestyle","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"40oz tumbler size","Commercial","/blog/tumbler-size-guide","None","Yes, subject to overlap and evidence gate","P2","/shop/drinkware","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"detangling hair brush Pakistan","Commercial","/blog/detangling-hair-brush-types","None","Yes, subject to overlap and evidence gate","P2","/shop/hair-care","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"hair straightener Pakistan","Commercial","/blog/hair-straightener-pakistan","None","Yes, subject to overlap and evidence gate","P2","/shop/hair-care","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"eyebrow trimmer care","Informational","/blog/eyebrow-trimmer-care","None","Yes, subject to overlap and evidence gate","P3","/shop/health-beauty","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"blackhead remover Pakistan","Commercial","/blog/blackhead-remover-guide","None","Yes, subject to overlap and evidence gate","P2","/shop/health-beauty","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"foot roller vs electric massager","Commercial","/blog/foot-roller-vs-electric-massager","None","Yes, subject to overlap and evidence gate","P2","/shop/wellness","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan massage search: Galaxiee, Daraz"
"post workout massage tools","Informational","/blog/post-workout-massage-tools","None","Yes, subject to overlap and evidence gate","P2","/shop/wellness","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan massage search: Galaxiee, Daraz"
"useful gifts under 2000 Pakistan","Commercial","/blog/gifts-under-2000-pakistan","None","Yes, subject to overlap and evidence gate","P2","/shop/electronics-gadgets","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"home products under 1000 Pakistan","Commercial","/blog/home-products-under-1000","None","Yes, subject to overlap and evidence gate","P2","/shop/home-essentials","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"check product quality online Pakistan","Informational","/blog/check-product-quality-online","None","Yes, subject to overlap and evidence gate","P2","/shop/home-essentials","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"COD shopping Pakistan","Informational","/blog/cod-shopping-checklist","None","Yes, subject to overlap and evidence gate","P2","/shop/home-essentials","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"delivery returns Pakistan","Informational","/blog/delivery-returns-pakistan","None","Yes, subject to overlap and evidence gate","P2","/shop/home-essentials","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"measure before buying online","Informational","/blog/measure-before-buying","None","Yes, subject to overlap and evidence gate","P3","/shop/office-accessories","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"kitchen sink cleaning tools","Commercial","/blog/kitchen-sink-cleaning-tools","None","Yes, subject to overlap and evidence gate","P2","/shop/cleaning-products","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"manual vs electric water pump","Commercial","/blog/manual-vs-electric-water-pump","None","Yes, subject to overlap and evidence gate","P2","/shop/home-essentials","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan water-pump search: Action.pk, ASH Homes"
"budget desk accessories Pakistan","Commercial","/blog/desk-accessories-budget-pakistan","None","Yes, subject to overlap and evidence gate","P3","/shop/office-accessories","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"home gadget maintenance","Informational","/blog/home-gadget-maintenance","None","Yes, subject to overlap and evidence gate","P3","/shop/electronics-gadgets","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"Mixenza product information","Navigational","/blog/how-we-select-products","None","Yes, subject to overlap and evidence gate","P1","/shop/home-essentials","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"seasonal home shopping Pakistan","Informational","/blog/seasonal-shopping-calendar","None","Yes, subject to overlap and evidence gate","P3","/shop/home-essentials","Top","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
